Finland, Female population exposure by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 06/09/2023
Year    Age        Exposure
1966     12        42387.01
1966     13        43238.05
1966     14        43571.28
1966     15        44140.33
1966     16        45742.71
1966     17        47661.24
1966     18        48009.62
1966     19        47123.09
1966     20        47964.58
1966     21        35030.36
1966     22        33789.28
1966     23        29131.32
1966     24        31496.28
1966     25        31059.24
1966     26        31180.00
1966     27        30904.88
1966     28        29169.58
1966     29        27645.75
1966     30        27435.24
1966     31        27508.83
1966     32        26202.97
1966     33        26481.25
1966     34        28129.08
1966     35        29494.65
1966     36        30487.02
1966     37        30683.81
1966     38        29838.83
1966     39        29585.14
1966     40        30064.79
1966     41        29910.28
1966     42        30775.86
1966     43        30147.52
1966     44        30370.25
1966     45        30869.79
1966     46        28290.61
1966     47        24022.80
1966     48        27616.81
1966     49        27049.97
1966     50        26491.31
1966     51        27912.47
1966     52        28543.55
1966     53        28968.23
1966     54        29355.24
1966     55        28945.13
1967     12        41660.02
1967     13        42251.72
1967     14        43369.34
1967     15        43289.83
1967     16        43772.57
1967     17        45468.44
1967     18        47373.91
1967     19        47215.91
1967     20        46838.75
1967     21        47182.60
1967     22        35003.42
1967     23        33315.91
1967     24        28823.19
1967     25        31252.66
1967     26        31123.26
1967     27        31188.95
1967     28        30539.37
1967     29        29420.89
1967     30        27550.18
1967     31        27850.79
1967     32        27389.50
1967     33        26351.36
1967     34        26572.36
1967     35        28106.26
1967     36        29584.25
1967     37        30204.50
1967     38        30609.95
1967     39        29853.62
1967     40        29430.29
1967     41        30052.29
1967     42        29749.31
1967     43        30672.25
1967     44        30123.46
1967     45        30236.53
1967     46        30751.50
1967     47        28049.99
1967     48        24018.53
1967     49        27523.16
1967     50        26890.35
1967     51        26243.62
1967     52        27963.80
1967     53        28304.58
1967     54        28854.82
1967     55        29011.47
1968     12        41636.73
1968     13        41517.90
1968     14        42390.96
1968     15        43081.96
1968     16        42908.59
1968     17        43492.46
1968     18        45181.75
1968     19        46620.16
1968     20        46945.07
1968     21        46002.19
1968     22        47009.44
1968     23        34440.89
1968     24        32902.10
1968     25        28462.27
1968     26        31254.94
1968     27        31091.28
1968     28        30743.94
1968     29        30787.02
1968     30        29304.85
1968     31        27964.94
1968     32        27712.50
1968     33        27543.91
1968     34        26431.50
1968     35        26526.13
1968     36        28202.22
1968     37        29297.67
1968     38        30139.66
1968     39        30632.00
1968     40        29679.53
1968     41        29417.34
1968     42        29876.61
1968     43        29634.01
1968     44        30633.48
1968     45        29987.73
1968     46        30149.33
1968     47        30503.63
1968     48        28048.58
1968     49        23936.88
1968     50        27335.64
1968     51        26640.52
1968     52        26296.48
1968     53        27691.02
1968     54        28216.41
1968     55        28513.67
1969     12        40486.17
1969     13        41431.00
1969     14        41633.53
1969     15        41999.93
1969     16        42511.63
1969     17        42369.70
1969     18        42889.60
1969     19        43952.20
1969     20        45858.17
1969     21        45490.95
1969     22        45330.95
1969     23        45726.39
1969     24        33576.63
1969     25        31990.55
1969     26        28048.45
1969     27        30828.68
1969     28        30211.96
1969     29        30674.57
1969     30        30369.18
1969     31        29580.04
1969     32        27661.04
1969     33        27760.60
1969     34        27546.53
1969     35        26307.37
1969     36        26632.78
1969     37        27886.07
1969     38        29173.39
1969     39        30150.43
1969     40        30408.56
1969     41        29657.83
1969     42        29185.29
